StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,HR_AI_no_no_no,HR_AI_yes_yes_yes,HR_AI_no_yes_yes,HR_AI_yes_no_yes,HR_AI_yes_yes_no,HR_AI_no_no_yes,HR_AI_no_yes_no,HR_AI_yes_no_no,HR_AI_none,HR_Human_no_no_no,HR_Human_yes_yes_yes,HR_Human_no_yes_yes,HR_Human_yes_no_yes,HR_Human_no_no_yes,HR_Human_yes_yes_no,HR_Human_no_yes_no,HR_Human_yes_no_no,HR_Human_none,Med_AI_no_no_no,Med_AI_yes_yes_yes,Med_AI_no_yes_yes,Med_AI_yes_no_yes,Med_AI_yes_yes_no,Med_AI_no_no_yes,Med_AI_no_yes_no,Med_AI_yes_no_no,Med_AI_none,Med_Human_no_no_no,Med_Human_yes_yes_ye,Med_Human_no_yes_yes,Med_Human_yes_no_yes,Med_Human_yes_yes_no,Med_Human_no_no_yes,Med_Human_no_yes_no,Med_Human_yes_no_no,Med_Human_none,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,Q19,Q20,Q20_4_TEXT,Q21,Q21_8_TEXT,Q22,Q23,Q24,Q25,AnalystName,ReportType,FL_3_DO,FL_5_DO
2025-08-19 10:12:28,2025-08-19 10:21:01,IP Address,100,513,True,2025-08-19 10:21:01,R_6TsArD4sAihSjnt,anonymous,EN,1,65a4058b889d045da054b931,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,6,6,4=Neutral,3,3,5,3,4=Neutral,3,3,4=Neutral,3,5,3,5,3,5,3,1997,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Sarah Brown,Med,FL_45,FL_22
2025-08-19 10:17:24,2025-08-19 10:21:16,IP Address,100,231,True,2025-08-19 10:21:17,R_2MRMfMt9FXjvBjz,anonymous,EN,1,642edde09e616b33709868d0,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,6,5,7=Strongly agree,5,5,4=Neutral,4=Neutral,4=Neutral,6,6,6,5,4=Neutral,5,4=Neutral,4=Neutral,1972,Male / Man,,White / Caucasian,,"Production, Transportation, or Skilled Trades","$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a week,Christopher Davis,Med,FL_44,FL_110
2025-08-19 10:12:09,2025-08-19 10:21:21,IP Address,100,552,True,2025-08-19 10:21:21,R_84CMgQ0YueMTskd,anonymous,EN,0.8999999761581421,63ea5f39871e9fdef021a53d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,6,5,5,3,6,6,2,4=Neutral,5,5,5,3,3,5,6,5,4=Neutral,5,1988,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Sarah Brown,Med,FL_45,FL_124
2025-08-19 10:14:41,2025-08-19 10:21:26,IP Address,100,404,True,2025-08-19 10:21:26,R_1LYBiHtuZDTHwVr,anonymous,EN,0.8999999761581421,67d1af22429207c7c4bd0d63,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,6,5,5,4=Neutral,3,4=Neutral,5,5,2,2,5,2,5,2,6,3,6,3,1984,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_94
2025-08-19 10:14:47,2025-08-19 10:21:56,IP Address,100,429,True,2025-08-19 10:21:57,R_8dzjSSSHFHyUq0s,anonymous,EN,0.8999999761581421,640239e99e1aca6cf18a2b87,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4=Neutral,5,4=Neutral,5,4=Neutral,5,4=Neutral,1997,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$25,000 to $49,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,Med,FL_45,FL_104
2025-08-19 10:07:21,2025-08-19 10:22:07,IP Address,100,885,True,2025-08-19 10:22:07,R_7QX09jtRfWZGevz,anonymous,EN,1,673bdc54bee6e22ce93d7e9f,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4=Neutral,3,6,5,3,5,2,3,5,3,5,3,5,3,5,4=Neutral,1962,Female / Woman,,White / Caucasian,,Sales or related,"$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a month,Christopher Davis,HR,FL_44,FL_15
2025-08-19 10:09:48,2025-08-19 10:22:08,IP Address,100,740,True,2025-08-19 10:22:09,R_8322QXXGlRvBSGP,anonymous,EN,1,5bd249d45c90120001d1043f,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4=Average amount of time,5,4=Neutral,3,3,4=Neutral,3,3,3,6,3,5,3,6,2,5,3,1971,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Moderate: I make personal investments from time to time.,Less than once a month,Sarah Brown,HR,FL_45,FL_74
2025-08-19 10:02:22,2025-08-19 10:22:16,IP Address,100,1193,True,2025-08-19 10:22:17,R_7l6LSjTJeVwQ69W,anonymous,EN,1,5c4d1a6c9ce35100019dbc88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,6,5,6,3,5,5,4=Neutral,5,4=Neutral,3,6,2,6,2,5,3,5,2,1988,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_124
2025-08-19 10:06:25,2025-08-19 10:22:19,IP Address,100,954,True,2025-08-19 10:22:20,R_8KAqGg1eLJeCLXY,anonymous,EN,0.8999999761581421,67878e264046b71df4ad64af,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,,5,5,5,2,4=Neutral,5,2,3,4=Neutral,4=Neutral,5,3,5,3,5,3,4=Neutral,3,1973,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Daily or almost daily,J.M. Wright,Med,FL_43,FL_20
2025-08-19 10:08:10,2025-08-19 10:22:28,IP Address,100,857,True,2025-08-19 10:22:28,R_72qwTPll7GE51df,anonymous,EN,1,64fdfa6fcc38ff0fd0b0f2a3,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,5,5,6,4=Neutral,3,5,5,5,3,3,5,2,5,2,7=Strongly agree,2,6,2,1965,Male / Man,,Asian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","Less than $25,000",Limited: I have some experience but don't invest often.,A few times a month,Christopher Davis,Med,FL_44,FL_102
2025-08-19 10:14:18,2025-08-19 10:22:30,IP Address,100,491,True,2025-08-19 10:22:30,R_1lJlNiX10TLW27s,anonymous,EN,1,607dc630d2d30aa7e8699c23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),7=Extreme amount of effort,7=Extreme amount of time,7=Strongly agree,5,6,6,6,6,7=Strongly agree,4=Neutral,6,5,6,2,7=Strongly agree,2,7=Strongly agree,2,1990,Male / Man,,White / Caucasian,,"Production, Transportation, or Skilled Trades","$50,000 to $74,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,Med,FL_45,FL_23
2025-08-19 10:01:23,2025-08-19 10:22:35,IP Address,100,1271,True,2025-08-19 10:22:35,R_81SXUFvT2lT2fHH,anonymous,EN,0.8999999761581421,671b8aa1c4ef721a8f684d2c,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4=Average amount of time,5,4=Neutral,7=Strongly agree,6,2,4=Neutral,5,6,5,1=Strongly Disagree,6,2,7=Strongly agree,2,3,3,1993,Female / Woman,,Black or African American,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","Less than $25,000",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,HR,FL_44,FL_17
2025-08-19 10:05:44,2025-08-19 10:22:35,IP Address,100,1010,True,2025-08-19 10:22:35,R_5EZ2asPJMxZkvv3,anonymous,EN,1,66f87be972880bb2ac647855,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,6,6,6,4=Neutral,4=Neutral,4=Neutral,6,6,4=Neutral,4=Neutral,6,3,6,3,5,5,4=Neutral,3,1976,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$50,000 to $74,999",Moderate: I make personal investments from time to time.,Less than once a month,Christopher Davis,Med,FL_44,FL_21
2025-08-19 10:11:25,2025-08-19 10:23:23,IP Address,100,718,True,2025-08-19 10:23:24,R_5vhmQcC6YXmD4A1,anonymous,EN,1,666f2a40a2a79b7740744a62,,,,,,,,,,,,,,,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,,2,2,1=Strongly Disagree,1=Strongly Disagree,4=Neutral,7=Strongly agree,6,2,7=Strongly agree,7=Strongly agree,4=Neutral,4=Neutral,7=Strongly agree,7=Strongly agree,3,7=Strongly agree,3,7=Strongly agree,1998,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a month,Sarah Brown,HR,FL_45,FL_90
2025-08-19 10:16:38,2025-08-19 10:23:28,IP Address,100,409,True,2025-08-19 10:23:28,R_5MP0vK5fxnntHix,anonymous,EN,1,67bf76263f401e80e2b89708,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,4=Neutral,5,5,5,5,3,4=Neutral,5,5,5,3,5,5,5,3,4=Neutral,1983,Male / Man,,Asian,,"Management, Business, or Financial","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,HR,FL_44,FL_98
2025-08-19 10:12:29,2025-08-19 10:23:34,IP Address,100,665,True,2025-08-19 10:23:35,R_60VZnoyi7yDTzIB,anonymous,EN,1,5fbd18be2b7651043385b705,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4=Neutral,3,4=Neutral,5,4=Neutral,4=Neutral,2,3,6,3,4=Neutral,4=Neutral,5,4=Neutral,6,4=Neutral,1994,Male / Man,,Hispanic or Latino,,Office and Administrative Support,"$50,000 to $74,999",Moderate: I make personal investments from time to time.,Less than once a month,Christopher Davis,HR,FL_44,FL_17
2025-08-19 10:15:40,2025-08-19 10:23:37,IP Address,100,477,True,2025-08-19 10:23:37,R_2YA2mdji33jWfy4,anonymous,EN,1,6229f1c215b1b83f71da3b71,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,2,1=Strongly Disagree,7=Strongly agree,6,4=Neutral,1=Strongly Disagree,7=Strongly agree,7=Strongly agree,7=Strongly agree,2,3,4=Neutral,7=Strongly agree,4=Neutral,4=Neutral,4=Neutral,1964,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Limited: I have some experience but don't invest often.,Less than once a month,J.M. Wright,Med,FL_43,FL_102
2025-08-19 10:18:41,2025-08-19 10:23:38,IP Address,100,297,True,2025-08-19 10:23:39,R_2fl4UniREGjfqit,anonymous,EN,1,5de25e3fce20cd28846a7d5b,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,5,6,6,2,7=Strongly agree,7=Strongly agree,3,4=Neutral,5,6,5,4=Neutral,3,3,5,3,4=Neutral,5,1972,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a week,J.M. Wright,Med,FL_43,FL_100
2025-08-19 10:11:54,2025-08-19 10:23:49,IP Address,100,714,True,2025-08-19 10:23:50,R_8K1hzDOX7sPqDSh,anonymous,EN,1,62ad02acebe626b61f16d620,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,6,7=Extreme amount of time,5,5,4=Neutral,5,4=Neutral,5,4=Neutral,4=Neutral,5,6,6,7=Strongly agree,5,6,4=Neutral,5,1958,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,Med,FL_43,FL_110
2025-08-19 10:19:30,2025-08-19 10:23:51,IP Address,100,261,True,2025-08-19 10:23:52,R_1Nf5erlwX7zJxk6,anonymous,EN,0.30000001192092896,6321b8a415804175faa4a824,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,4=Neutral,4=Neutral,5,3,5,6,5,6,4=Neutral,4=Neutral,5,5,5,5,1983,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,HR,FL_43,FL_78
2025-08-19 10:11:36,2025-08-19 10:23:57,IP Address,100,741,True,2025-08-19 10:23:58,R_8KSYnewocdEqyJW,anonymous,EN,1,681106ac93d01f1615c6f003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,4=Average amount of effort,6,4=Neutral,2,6,5,3,3,6,5,7=Strongly agree,1=Strongly Disagree,4=Neutral,6,7=Strongly agree,5,3,5,2000,Female / Woman,,Asian,,"Management, Business, or Financial",Prefer not to answer,None: I have no personal experience with investing.,A few times a week,Christopher Davis,Med,FL_44,FL_118
2025-08-19 10:20:20,2025-08-19 10:24:27,IP Address,100,246,True,2025-08-19 10:24:27,R_1eXxoCbsi8l21oj,anonymous,EN,0.20000000298023224,67d6e1a36086654c357b5e2e,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,5,5,6,5,4=Neutral,5,6,6,4=Neutral,4=Neutral,5,4=Neutral,4=Neutral,5,4=Neutral,5,1979,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_92
2025-08-19 10:11:01,2025-08-19 10:24:49,IP Address,100,828,True,2025-08-19 10:24:49,R_2UgSWlXjjwmCuIf,anonymous,EN,0.8999999761581421,5da8768c2a921500145c6a0d,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,6,6,5,4=Neutral,4=Neutral,4=Neutral,4=Neutral,4=Neutral,4=Neutral,4=Neutral,5,4=Neutral,5,4=Neutral,5,5,5,4=Neutral,1993,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Daily or almost daily,Christopher Davis,Med,FL_44,FL_102
2025-08-19 10:16:31,2025-08-19 10:24:51,IP Address,100,499,True,2025-08-19 10:24:52,R_5D4YOgfIM02JudX,anonymous,EN,1,5f516a44067fba1b4c562a55,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,2,2,6,5,7=Strongly agree,2,3,5,4=Neutral,6,5,6,6,6,3,1985,Male / Man,,White / Caucasian,,"Service Industry (e.g., hospitality, food service, protective services)","$25,000 to $49,999",Moderate: I make personal investments from time to time.,A few times a month,Sarah Brown,HR,FL_45,FL_78
2025-08-19 10:15:06,2025-08-19 10:24:50,IP Address,100,583,True,2025-08-19 10:24:52,R_20WagYabZUYQnOV,anonymous,EN,0.6000000238418579,65e0907d3988b55a23820ffb,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1=Strongly Disagree,2,4=Neutral,1=Strongly Disagree,3,6,6,3,4=Neutral,6,3,1=Strongly Disagree,4=Neutral,5,5,1963,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","Less than $25,000",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,HR,FL_43,FL_94
2025-08-19 10:21:09,2025-08-19 10:24:54,IP Address,100,224,True,2025-08-19 10:24:54,R_2AHbz2xBlZKU9i8,anonymous,EN,0.8999999761581421,6414214e827ce5e66769d4a1,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,4=Neutral,5,5,2,2,5,5,4=Neutral,5,3,5,4=Neutral,3,6,1990,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,HR,FL_45,FL_74
2025-08-19 10:22:02,2025-08-19 10:24:54,IP Address,100,172,True,2025-08-19 10:24:54,R_2D5KD4SEwnQcJKO,anonymous,EN,0.6000000238418579,63d173552e25a21cf3a39ea9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),6,6,5,3,5,5,2,5,3,3,5,5,4=Neutral,5,7=Strongly agree,4=Neutral,4=Neutral,4=Neutral,1981,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Less than once a month,Christopher Davis,Med,FL_44,FL_23
2025-08-19 10:13:07,2025-08-19 10:24:57,IP Address,100,710,True,2025-08-19 10:24:58,R_2fj07808M36NUyA,anonymous,EN,0.8999999761581421,663b88bfc26125e23f752e31,,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,4=Neutral,6,6,6,3,5,5,5,3,6,3,7=Strongly agree,3,6,2,1965,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,HR,FL_45,FL_19
2025-08-19 10:18:44,2025-08-19 10:25:18,IP Address,100,394,True,2025-08-19 10:25:19,R_205Hua0rmk0vnMQ,anonymous,EN,0.800000011920929,6772ed74a16a7086a77e5d6e,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,5,3,4=Neutral,5,5,5,3,3,4=Neutral,5,4=Neutral,3,3,6,3,5,3,1998,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Limited: I have some experience but don't invest often.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_96
2025-08-19 10:16:35,2025-08-19 10:25:29,IP Address,100,533,True,2025-08-19 10:25:30,R_5CmgNLSDSXXnHeo,anonymous,EN,1,66107a3619b2031a5256b327,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,6,6,5,4=Neutral,4=Neutral,3,7=Strongly agree,3,5,4=Neutral,4=Neutral,3,4=Neutral,5,3,3,5,3,1959,Female / Woman,,Asian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a month,J.M. Wright,HR,FL_43,FL_88
2025-08-19 10:16:15,2025-08-19 10:25:35,IP Address,100,559,True,2025-08-19 10:25:35,R_7Ft5LJHC5XEIYFA,anonymous,EN,0.8999999761581421,67ceb35b4792192fccbb19c9,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,6,6,4=Neutral,5,7=Strongly agree,7=Strongly agree,7=Strongly agree,7=Strongly agree,7=Strongly agree,5,4=Neutral,6,3,6,2,5,4=Neutral,1991,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_84
2025-08-19 10:19:09,2025-08-19 10:25:36,IP Address,100,386,True,2025-08-19 10:25:37,R_2xTH2XFjp9KehGh,anonymous,EN,0.800000011920929,60536d640af90db5d51d4102,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,4=Neutral,5,6,6,5,2,2,5,2,5,3,5,3,6,2,1972,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_98
2025-08-19 10:15:31,2025-08-19 10:25:42,IP Address,100,611,True,2025-08-19 10:25:43,R_2stSCHcTWSSOnFQ,anonymous,EN,0.30000001192092896,64481bca476d6bfbae2066e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),5,6,6,3,3,4=Neutral,5,4=Neutral,3,5,5,3,3,5,6,5,4=Neutral,6,1991,Female / Woman,,White / Caucasian,,"Production, Transportation, or Skilled Trades","$25,000 to $49,999",Moderate: I make personal investments from time to time.,A few times a month,J.M. Wright,Med,FL_43,FL_23
2025-08-19 10:18:00,2025-08-19 10:26:07,IP Address,100,487,True,2025-08-19 10:26:07,R_81apKin0yNBX4hS,anonymous,EN,0.8999999761581421,572230173fbc810011c58a38,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4=Neutral,3,5,5,6,6,2,2,5,4=Neutral,3,3,5,2,6,2,1985,Female / Woman,,White / Caucasian,,"Service Industry (e.g., hospitality, food service, protective services)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Less than once a month,Christopher Davis,HR,FL_44,FL_74
2025-08-19 10:15:49,2025-08-19 10:26:24,IP Address,100,634,True,2025-08-19 10:26:25,R_6PdoRGExY6gu3QX,anonymous,EN,1,6297d4ad03a1830f21d22cb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,3,3,3,3,5,5,3,2,3,3,5,2,3,3,5,3,4=Neutral,3,1981,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Less than once a month,Christopher Davis,Med,FL_44,FL_116
2025-08-19 10:19:58,2025-08-19 10:26:31,IP Address,100,393,True,2025-08-19 10:26:32,R_1qb7Citq1A80zbr,anonymous,EN,0.800000011920929,67a908afd56a6f9e4bf0d17d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,7=Extreme amount of effort,6,6,4=Neutral,3,3,5,5,2,2,6,4=Neutral,5,2,6,4=Neutral,6,2,2000,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,Med,FL_44,FL_126
2025-08-19 10:19:27,2025-08-19 10:26:33,IP Address,100,425,True,2025-08-19 10:26:33,R_72IK35j1kiyAphv,anonymous,EN,0,67fcacde90e769636fa95799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,6,7=Extreme amount of time,6,5,4=Neutral,5,4=Neutral,5,4=Neutral,4=Neutral,6,4=Neutral,6,2,6,4=Neutral,6,4=Neutral,1978,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,J.M. Wright,Med,FL_43,FL_114
2025-08-19 10:21:43,2025-08-19 10:26:44,IP Address,100,301,True,2025-08-19 10:26:44,R_8YSIMR2Oso3fmqR,anonymous,EN,0.8999999761581421,5e8c8195ef455e000a625905,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,3,6,6,1=Strongly Disagree,3,4=Neutral,5,5,3,3,2,6,3,6,2,1988,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,HR,FL_45,FL_17
2025-08-19 10:15:53,2025-08-19 10:26:43,IP Address,100,649,True,2025-08-19 10:26:44,R_7m4tx3TXKl2LqhG,anonymous,EN,1,67df453b924dec242ee417f2,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,6,5,6,3,3,5,6,5,3,3,7=Strongly agree,3,6,1=Strongly Disagree,6,5,6,3,1991,Female / Woman,,White / Caucasian,,Office and Administrative Support,"$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,J.M. Wright,HR,FL_43,FL_90
2025-08-19 10:20:06,2025-08-19 10:26:45,IP Address,100,398,True,2025-08-19 10:26:45,R_6PCRmDuyUNiMMSZ,anonymous,EN,0.800000011920929,67cccc70ea11ab9caa72da49,,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,6,5,4=Neutral,3,5,6,3,4=Neutral,3,4=Neutral,4=Neutral,3,4=Neutral,3,5,3,5,3,1973,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_19
2025-08-19 10:09:30,2025-08-19 10:26:47,IP Address,100,1036,True,2025-08-19 10:26:47,R_5J8zqJXfSlXtcGd,anonymous,EN,1,668eb8b9fe895616056adf08,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,5,5,1=Strongly Disagree,3,5,6,5,3,5,5,3,3,6,3,4=Neutral,3,1998,Female / Woman,,"Black or African American,White / Caucasian",,"Service Industry (e.g., hospitality, food service, protective services)","Less than $25,000",Limited: I have some experience but don't invest often.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_78
2025-08-19 10:17:03,2025-08-19 10:26:51,IP Address,100,588,True,2025-08-19 10:26:51,R_7pZ1QabzPyuuVKa,anonymous,EN,1,5e2610aad15fdb000c054503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,3,3,3,4=Neutral,2,5,2,2,5,5,4=Neutral,4=Neutral,3,5,7=Strongly agree,3,4=Neutral,5,1963,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,Med,FL_44,FL_122
